
                                Name                                           Version             Type   
  io.openliberty.accesslists.internal                               1.0.88.cl240420240408-2000     maven  
  io.openliberty.cdi.4.0.internal.interfaces                        1.0.88.cl240420240408-2000     maven  
  io.openliberty.cdi.4.0.internal.services.fragment                 1.0.88.cl240420240408-2000     maven  
  io.openliberty.cdi.4.0.internal.web                               1.0.88.cl240420240408-2000     maven  
  io.openliberty.cdi.4.0.internal.weld                              1.0.88.cl240420240408-2000     maven  
  io.openliberty.cdi.4.0.thirdparty                                 1.0.88.cl240420240408-2000     maven  
  io.openliberty.cdi.spi                                            1.1.88.cl240420240408-2000     maven  
  io.openliberty.checkpoint                                         1.0.88.cl240420240408-2000     maven  
  io.openliberty.com.fasterxml.jackson                              2.15.88.cl240420240408-2000    maven  
  io.openliberty.dynacache.internal                                 1.0.88.cl240420240408-2000     maven  
  io.openliberty.el.internal.cdi.jakarta                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.endpoint                                           1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.micrometer                                      1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.netty                                           1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.netty.ssl                                       1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.smallrye.common2                                1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.smallrye.config3                                1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.smallrye.jandex3                                1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.smallrye.metrics                                1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.smallrye.openapi3.core                          1.0.88.cl240420240408-2000     maven  
  io.openliberty.io.smallrye.openapi3.jaxrs                         1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.activation.2.1                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.annotation.2.1                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.cdi.4.0                                    1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.connectors.2.1                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.enterpriseBeans.4.0                        1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.expressionLanguage.5.0                     1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.interceptor.2.1                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.jsonb.3.0                                  1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.jsonp.2.1                                  1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.mail.2.1                                   1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.pages.3.1                                  1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.persistence.3.1                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.persistence.api.3.1                        1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.restfulWS.3.1                              1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.servlet.6.0                                1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.soap.3.0                                   1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.transaction.2.0                            1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.validation.3.0                             1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.websocket.2.1                              1.0.88.cl240420240408-2000     maven  
  io.openliberty.jakarta.websocket.client.2.1                       1.0.88.cl240420240408-2000     maven  
